condition,draw_seed,eval_n,eval_fingerprint,train_tokens_used,bigram_types,unigram_types,discount_D,gmean_ppl,gmean_ppl_content,median_ppl,model
bare_reverse,0,10000,18927e01a9e9b598,6000005,544636,21315,0.66109,1087.0678,1087.0678,767.894,bigram_absdisc
fixed_end,0,10000,a78b69b72a82e9af,6000000,437693,18024,0.65385,290.5411,650.686,275.1305,bigram_absdisc
fixed_start,0,10000,4927dd059a655be4,6000000,437674,18024,0.65385,745.8898,745.8898,580.0051,bigram_absdisc
negtok,0,10000,3b683fcc428b7b68,6000000,439576,18024,0.65357,417.8066,660.6589,385.7972,bigram_absdisc
not_random,0,10000,f61a0b3c4596134f,6000000,439693,18025,0.65353,454.8255,702.6171,398.4205,bigram_absdisc
parity_tok,0,10000,fb5468c67f35da4b,6000000,439614,18025,0.65362,492.8593,713.2248,410.0956,bigram_absdisc
parity_word,0,10000,7d0e98c208871176,6000000,439576,18025,0.65357,418.3754,660.6589,385.7972,bigram_absdisc
reverse_control,0,10000,5db01b3143961048,6000003,433489,18040,0.65457,527.9331,897.7352,461.8455,bigram_absdisc
reverse_full,0,10000,24b6dadf345d3834,6000003,430784,18040,0.6551,862.9291,1723.4483,666.9814,bigram_absdisc
reverse_partial,0,10000,b3806a2b1a72ed55,6000003,514080,18040,0.67118,521.1624,833.4904,463.8187,bigram_absdisc
shuffle_control,0,10000,4ba3ca5431257859,6000005,547689,21315,0.66057,480.9021,480.9021,417.1344,bigram_absdisc
shuffle_deterministic21,0,10000,71de9905bbb266df,6000005,962087,21315,0.71163,1493.6722,1493.6722,1461.8404,bigram_absdisc
shuffle_even_odd,0,10000,04af466956944181,6000005,817984,21315,0.68762,1078.112,1078.112,1109.9685,bigram_absdisc
shuffle_local10,0,10000,64a17a7cd2ca5cfa,6000005,970033,21315,0.70836,1217.6806,1217.6806,1310.4663,bigram_absdisc
shuffle_local3,0,10000,3ee5fadf028cee8c,6000005,853797,21315,0.69622,1028.0158,1028.0158,1040.2013,bigram_absdisc
shuffle_nondeterministic,0,10000,6cbe9def6b453c25,6000005,1014682,21315,0.71921,1542.7863,1542.7863,1541.9553,bigram_absdisc
word_shuffle,0,10000,f8e64e5841c1a6ec,6000005,994218,21315,0.71424,1481.8868,1481.8868,1514.7614,bigram_absdisc
